file,isn,business_key,rule,fields,outcome,message
NCCRUISE,44,2900,CR-04,CRUISE-STATUS,reject,CRUISE-STATUS 'X' outside domain '0'..'9'
NCCRUISE,45,2901,CR-04,CRUISE-STATUS,reject,CRUISE-STATUS ' ' outside domain '0'..'9'
NCCRUISE,46,2902,CR-03,ID-YACHT,flag,ID-YACHT 9999 has no NCYACHT.YACHT-ID
NCCUSTOMER,1,10000001,CR-05,SEX,flag,SEX blank; HCM Sex/Gender attribute needs a steward value
NCCUSTOMER,1,10000001,CR-06,EMAIL,flag,no EMAIL occurrence populated (login-by-email path unusable)
NCCUSTOMER,1,10000001,CR-08,ZIP-CODE,flag,address group entirely blank
NCCUSTOMER,1,10000001,CR-09,COUNTRY,flag,COUNTRY blank; HCM address needs a country code
NCCUSTOMER,1,10000001,CR-10,BIRTH-DATE,flag,BIRTH-DATE missing
NCCUSTOMER,1,10000001,CR-11,TIMESTAMP,flag,TIMESTAMP absent; optimistic-lock token missing
NCCUSTOMER,2,10000002,CR-05,SEX,flag,SEX blank; HCM Sex/Gender attribute needs a steward value
NCCUSTOMER,2,10000002,CR-06,EMAIL,flag,no EMAIL occurrence populated (login-by-email path unusable)
NCCUSTOMER,2,10000002,CR-08,ZIP-CODE,flag,address group entirely blank
NCCUSTOMER,2,10000002,CR-09,COUNTRY,flag,COUNTRY blank; HCM address needs a country code
NCCUSTOMER,2,10000002,CR-10,BIRTH-DATE,flag,BIRTH-DATE missing
NCCUSTOMER,2,10000002,CR-11,TIMESTAMP,flag,TIMESTAMP absent; optimistic-lock token missing
NCCUSTOMER,50,10000050,CR-12,PERSON-ID,flag,PERSON-ID 10000050 duplicated (3 records); survivor
NCCUSTOMER,203,10000050,CR-12,PERSON-ID,reject,PERSON-ID 10000050 duplicated; later occurrence (ISN 203)
NCCUSTOMER,204,10000050,CR-12,PERSON-ID,reject,PERSON-ID 10000050 duplicated; later occurrence (ISN 204)
NCCUSTOMER,205,10000301,CR-13,SURNAME;FIRST-NAME-OLD;FIRST-NAME-1,correct,FIRST-NAME-OLD blank; derived from FIRST-NAME-1 (adapter-written field)
NCCUSTOMER,206,10000302,CR-13,SURNAME;FIRST-NAME-OLD;FIRST-NAME-1,flag,FIRST-NAME-OLD 'Tom' differs from FIRST-NAME-1 'Thomas'
NCCUSTOMER,207,10000303,CR-13,SURNAME;FIRST-NAME-OLD;FIRST-NAME-1,flag,no first name in FIRST-NAME-OLD or FIRST-NAME-1
NCCUSTOMER,208,10000304,CR-13,SURNAME;FIRST-NAME-OLD;FIRST-NAME-1,reject,SURNAME blank; Person LastName is mandatory
NCCUSTOMER,209,10000311,CR-10,BIRTH-DATE,reject,BIRTH-DATE 19991340 is not a valid YYYYMMDD date
NCCUSTOMER,210,10000312,CR-10,BIRTH-DATE,reject,BIRTH-DATE 20301231 is in the future
NCCUSTOMER,211,10000313,CR-10,BIRTH-DATE,flag,BIRTH-DATE 19000101 implies age 126
NCCUSTOMER,212,10000314,CR-10,BIRTH-DATE,flag,BIRTH-DATE missing
NCCUSTOMER,213,10000321,CR-11,TIMESTAMP,flag,TIMESTAMP absent; optimistic-lock token missing
NCCUSTOMER,214,10000322,CR-11,TIMESTAMP,flag,TIMESTAMP absent; optimistic-lock token missing
NCCUSTOMER,215,10000331,CR-06,EMAIL,correct,EMAIL(1) blank but a later occurrence is populated; promoted
NCCUSTOMER,216,10000332,CR-06,EMAIL,correct,duplicate EMAIL occurrences removed
